round,legacy_id,id,name,model,gpt,electra,description,merged_f1,merged_accuracy,dyn1_f1,dyn1_accuracy,dyn2_f1,dyn2_accuracy,sst_f1,sst_accuracy,ft_cost,cost_per_f1,tokens,rate,gpt_ft_cost,electra_ft_cost,merged_f1_mean,merged_f1_diff,merged_f1_std,dyn1_f1_mean,dyn_f1_diff,dyn1_f1_std,dyn2_f1_mean,dyn2_f1_diff,dyn2_f1_std,sst_f1_mean,sst_f1_diff,sst_f1_std,merged_accuracy_mean,merged_accuracy_std,dyn1_accuracy_mean,dyn1_accuracy_std,dyn2_accuracy_mean,dyn2_accuracy_std,sst_accuracy_mean,sst_accuracy_std
1,E7-G4O-ELFT,E19,"E19: Prompt, Label",GPT-4o + ELFT,gpt-4o,ELECTRA Large FT,"Prompt, Label",83.18,83.68,85.71,85.56,81.98,82.22,73.44,81.09,$53.26,$0.6403,0,25,$0.00,$53.26,83.19,3.22,0.01,85.71,4.77,0.00,82.06,1.92,0.11,73.48,1.40,0.06,83.69,0.01,85.56,0.00,82.29,0.10,81.09,0.00
1,E20-G4O-ELFT-EX,E20,"E20: Prompt, Label, Examples (Few shot)",GPT-4o + ELFT,gpt-4o,ELECTRA Large FT,"Prompt, Label, Examples (Few shot)",83.09,83.66,86.01,85.86,81.53,81.81,72.06,80.68,$53.26,$0.6410,0,25,$0.00,$53.26,83.29,3.32,0.28,86.11,5.17,0.14,81.48,1.35,0.07,72.96,0.88,1.27,83.83,0.24,85.96,0.14,81.74,0.10,81.04,0.51
1,E21-G4O-ELFT-BEX,E21,"E21: Prompt, Label, Balanced Ex. (Few shot)",GPT-4o + ELFT,gpt-4o,ELECTRA Large FT,"Prompt, Label, Balanced Ex. (Few shot)",82.99,83.55,85.87,85.69,80.89,81.11,72.15,80.86,$53.26,$0.6418,0,25,$0.00,$53.26,83.19,3.22,0.28,86.01,5.06,0.19,81.04,0.90,0.21,72.88,0.80,1.03,83.72,0.24,85.83,0.20,81.25,0.20,81.09,0.32
1,E22-G4O-ELFT-PR,E22,"E22: Prompt, Probs",GPT-4o + ELFT,gpt-4o,ELECTRA Large FT,"Prompt, Probs",82.65,83.25,86.05,85.97,77.67,77.92,71.16,80.54,$53.26,$0.6444,0,25,$0.00,$53.26,82.99,3.02,0.47,86.37,5.42,0.45,78.42,-1.72,1.05,71.90,-0.19,1.04,83.56,0.44,86.28,0.43,78.68,1.07,80.72,0.25
1,E23-G4O-ELFT-PR2,E23,"E23: Prompt, Label, Probs",GPT-4o + ELFT,gpt-4o,ELECTRA Large FT,"Prompt, Label, Probs",83.08,83.71,86.44,86.33,79.23,79.58,71.48,80.77,$53.26,$0.6411,0,25,$0.00,$53.26,83.31,3.34,0.33,86.69,5.74,0.35,79.46,-0.68,0.33,72.17,0.09,0.97,83.91,0.28,86.57,0.34,79.79,0.30,80.91,0.19
1,E24-G4O-ELFT-EX-PR2,E24,"E24: Prompt, Label, Probs, Examples",GPT-4o + ELFT,gpt-4o,ELECTRA Large FT,"Prompt, Label, Probs, Examples",82.74,83.35,86.32,86.22,77.76,78.06,70.98,80.41,$53.26,$0.6437,0,25,$0.00,$53.26,83.04,3.07,0.42,86.53,5.58,0.29,78.47,-1.67,1.00,71.83,-0.25,1.20,83.62,0.38,86.42,0.28,78.75,0.98,80.66,0.35
1,E8-G4OFT,E25,E25: Fine-tune w/prompt,GPT-4o,gpt-4o FT,,Fine-tune w/prompt,86.83,87.43,90.44,90.36,88.34,88.47,73.08,82.31,$276.24,$3.1814,"11,049,720",25,$276.24,$0.00,86.79,,0.06,90.46,,0.03,88.14,,0.28,73.09,,0.01,87.38,0.08,90.39,0.04,88.27,0.29,82.18,0.19
1,E12-G4OFT-M,E26,E26: Minimal fine-tune,GPT-4o,gpt-4o FT-M,,Minimal fine-tune,86.99,87.57,90.57,90.5,89,89.17,73.99,82.26,$138.37,$1.5907,"5,534,849",25,$138.37,$0.00,86.99,0.21,0.00,90.57,0.11,0.00,89.00,0.86,0.00,73.99,0.91,0.00,87.57,0.00,90.50,0.00,89.17,0.00,82.26,0.00
1,E9-G4OFT-ELFT-P,E27,E27: Fine-tune w/prompt,GPT-4o FT + ELFT,gpt-4o FT,ELECTRA Large FT,Fine-tune w/prompt,83.82,84.47,87.80,87.72,79.49,79.86,71.18,80.68,$329.50,$3.9311,"11,049,720",25,$276.24,$53.26,84.03,-2.76,0.30,87.90,-2.57,0.13,80.01,-8.14,0.73,72.00,-1.09,1.15,84.66,0.26,87.81,0.12,80.35,0.69,80.93,0.35
1,E10-G4OFT-ELFT-FT,E28,"E28: Fine-tune w/prompt, label",GPT-4o FT + ELFT,gpt-4o FT-L,ELECTRA Large FT,"Fine-tune w/prompt, label",84.23,84.82,87.74,87.64,80.55,80.83,72.63,81.54,$383.10,$4.5483,"13,193,757",25,$329.84,$53.26,84.37,-2.42,0.19,87.81,-2.66,0.09,81.28,-6.86,1.03,73.10,0.01,0.66,84.93,0.16,87.70,0.08,81.53,0.98,81.54,0.00
